gene1,gene2
GP9,JUN
MSI2,HDAC8
CCDC69,FHL3
SDC1,WDYHV1
BAG2,DOCK5
ARL4C,TADA2A
AKT2,DISC1
SLC15A2,HSPB1
AIMP2,CCND1
COMMD7,CDK2
DTX2,MNDA
FAM65B,CTTN
PPARG,CCDC155
VWA7,RPS11
RAD50,ASB16
MARVELD1,XRCC6
KRT6B,RAD52
ANO5,PCBP1
C11orf70,SHC1
POLR1D,ILF2
ATF3,GAB1
OSR1,FYN
LMO1,CCDC136
SREK1IP1,OTUB1
PGM2,MNDA
BLM,AP2M1
NCKAP1,GH1
KRT86,CEP19
SELT,SOX2
ARHGEF11,SOX2
RAB18,LNX1
FBXO22,SIRT7
SPACA3,CLK2
MAN2C1,FYN
NAT8,CDC37
PKHD1,TRAF3
FAM26E,HSP90AB1
MLYCD,FBXO6
OFCC1,HSP90AB1
KRT73,KRTAP10-7
STRADA,HSPA5
CD37,HCK
GJD4,HDAC5
PDE3A,FOXB1
SAAL1,KRTAP10-3
CHERP,FOXL1
PJA2,FASTKD3
ZNF274,OTUB1
LOXL1,STK4
KCNQ2,SUMO2
IGFBPL1,ELAVL1
BRD2,THRB
LRRCC1,METTL18
FAM184A,HIST1H3A
CEP95,KRT40
MPO,COPS5
PYROXD1,TMEM17
ZNF772,TMEM17
HIST2H2BC,AP2M1
MRPL15,APOA1
SEMA7A,SUMO2
HPS4,HSP90AA1
GIP,JUN
LYNX1,SRPK2
ZCCHC11,MED19
MFAP2,BRCA1
RPS6KB1,PACSIN1
SYCP1,LIG4
MRC2,CDK4
PGAM1,FATE1
USP26,HNRNPK
TOP3A,NFKBIB
EDC3,RPL10L
ARHGEF15,RIOK2
NIF3L1,TADA2A
HTN1,STK4
ATP1B1,PRPF8
PAX5,CALM1
MAP2K2,PHKG2
EPB41,KRTAP10-5
CAMK2D,MEOX2
SCN5A,MEOX2
BIRC2,MYBPC2
MARK2,TCTN1
RUSC1,XRCC6
NOTCH3,TCTN1
TOMM7,TARDBP
RASSF6,MAPK11
GRIN2D,KHSRP
HSPB11,FYN
HPCAL1,PAXIP1
CAMSAP1,TCTN3
METTL23,TCEB2
GDF9,RAC1
EIF3B,MEOX2
CSRP3,UBQLN4
PPP1R10,RPL36
NXPH1,RAB27B
GTF2A1L,TRAF1
ACKR3,ACTA1
MAN2A2,EP300
AARS2,FOXL2
FOXN2,XRCC6
LRP12,NEDD8
MORC4,TADA2A
MYLK,NOTCH2NL
F12,MTUS2
SULT2B1,DDX3X
NPM2,MYC
ACY1,GRK5
METTL15,LIG4
TDH,TBP
TWF2,MEOX2
LNPEP,HIST1H3A
TRIP6,CHM
GNPTAB,LIG4
PKD1L3,UBE2I
RGS4,CUL4A
ABLIM2,TRAF6
ABCC5,CLK2
PRF1,CUL5
SPATS2L,LIG4
GALNS,HNRNPA1
HAUS8,KRTAP10-8
KLHL28,LNX1
CTSG,LRRK2
NGLY1,CDKN2A
PPFIA4,PAXIP1
RETSAT,KRT40
DHX16,MTUS2
DESI1,CLK2
MOAP1,DISC1
RAB40C,SUMO2
PAIP2B,HSP90AA1
ZIC1,HSP90AB1
AFG3L2,KRTAP10-8
NFIB,CHM
UBL4A,AP2A1
GOPC,MYOZ2
F7,TARDBP
GBA3,CDK4
PRPF8,FASTKD3
KRTAP9-2,NFKB1
CFAP45,NRF1
APPL2,DHX9
TRG,HLA-DRB1
BDKRB1,CALM1
ZNF136,MNDA
TNPO1,KRTAP10-5
VPS52,EEF1A1
SDAD1,LIG4
TCF24,YWHAZ
GTPBP2,SOX2
TXNDC5,UNC119
