ComplexID,Organism,subunits,subunits(Gene name),Disease
1,Human,P41182;P56524,BCL6;HDAC4,C0015672;C0015967;C0024299;C0024301;C0024305;C0028081;C0038002;C0079772;C0334660;C0520743;C1262477;C1292754;C0005695;C0011570;C0011616;C0013595;C0014306;C0014544;C0019322;C0025362;C0026827;C0028754;C0036341;C0036572;C0221352;C0221354;C0221357;C0236736;C0239479;C0265660;C0266011;C0340543;C0345967;C0349588;C0423109;C0423224;C0423903;C0424688;C0525045;C0557874;C0575802;C0578038;C0917816;C1827524;C1832446;C1834055;C1836542;C1837084;C1840077;C1843108;C1843367;C1848673;C1850049;C1851059;C1853242;C1856468;C1857042;C1862095;C1862102;C1864897;C1866195;C1868571;C2673410;C2931817;C3550546;C3553764;C3714756;C4020849;C4020875;C4020876;C4049796;C4280320;C4280321;C4280365;C4280495;C4280538
2,Human,P41182;Q9UQL6,BCL6;HDAC5,C0015672;C0015967;C0024299;C0024301;C0024305;C0028081;C0038002;C0079772;C0334660;C0520743;C1262477;C1292754;C0001546;C0011570;C0011581;C0041696;C0236736;C0340543;C1269683
3,Human,P41182;Q8WUI4,BCL6;HDAC7,C0015672;C0015967;C0024299;C0024301;C0024305;C0028081;C0038002;C0079772;C0334660;C0520743;C1262477;C1292754
4,Human,Q09472;Q92793;Q92831;Q9Y6Q9,EP300;CREBBP;KAT2B;NCOA3,C0001818;C0001973;C0003811;C0004352;C0005695;C0005745;C0007134;C0007137;C0007138;C0009363;C0009404;C0009806;C0009917;C0009918;C0010417;C0010606;C0011053;C0011334;C0011351;C0013261;C0013274;C0014170;C0014306;C0014544;C0015300;C0016202;C0017601;C0018772;C0018817;C0018818;C0019569;C0019572;C0020224;C0021125;C0022548;C0022658;C0022906;C0023012;C0023234;C0024636;C0025160;C0025202;C0025362;C0025990;C0026034;C0026106;C0026827;C0028754;C0035934;C0036572;C0036601;C0037932;C0038271;C0038273;C0038325;C0038356;C0038379;C0039075;C0040433;C0079772;C0080174;C0080218;C0086437;C0086543;C0149925;C0151611;C0151889;C0152013;C0152427;C0175754;C0206733;C0221214;C0221263;C0221354;C0231246;C0231686;C0233715;C0234853;C0237326;C0239234;C0240295;C0240310;C0240538;C0240635;C0241210;C0262630;C0264133;C0264303;C0264886;C0265563;C0265974;C0266034;C0266063;C0266067;C0266292;C0277828;C0279626;C0279680;C0280631;C0311277;C0333068;C0339789;C0349588;C0376634;C0399357;C0423110;C0423224;C0423903;C0424295;C0424688;C0424731;C0425772;C0426415;C0426891;C0431483;C0454455;C0454644;C0476273;C0520679;C0522055;C0541764;C0549397;C0557874;C0563243;C0581381;C0678230;C0700208;C0751466;C0855329;C0857379;C0917816;C1185616;C1281931;C1290508;C1305740;C1317785;C1384666;C1398312;C1400105;C1458155;C1510497;C1691215;C1832603;C1835807;C1837760;C1839764;C1842366;C1842820;C1843367;C1844508;C1846464;C1848490;C1849367;C1850049;C1850327;C1850530;C1851854;C1852464;C1853237;C1853487;C1853738;C1855670;C1855728;C1856119;C1857130;C1857627;C1858539;C1859778;C1860164;C1861403;C1862425;C1864897;C1865027;C1865841;C1866134;C1866862;C1867131;C1867132;C1868571;C2051831;C2315100;C2674608;C2675540;C2752013;C3150941;C3275754;C3494422;C3714756;C4020691;C4020813;C4020849;C4020875;C4020876;C4020889;C4024221;C4024989;C4025111;C4025806;C4025843;C4072873;C4073291;C4082243;C4280335;C4280395;C4280456;C4280457;C4280538;C4280554;C4280555;C4280613;C4280614;C4280617;C4280618;C4280623;C4280629;C4280640;C4280641;C4280642;C4280643;C0001818;C0003811;C0004352;C0005586;C0005695;C0005745;C0007137;C0007138;C0009363;C0009806;C0009917;C0009918;C0010417;C0010606;C0011053;C0011351;C0011573;C0013261;C0013274;C0014306;C0014544;C0015300;C0016202;C0017601;C0018772;C0018817;C0018818;C0019569;C0019572;C0020224;C0021125;C0022548;C0022658;C0022906;C0023012;C0023234;C0024301;C0024636;C0025160;C0025362;C0025990;C0026034;C0026827;C0033578;C0035934;C0036341;C0036572;C0036601;C0036920;C0037932;C0038271;C0038273;C0038379;C0039075;C0040433;C0080174;C0080218;C0086437;C0086543;C0149925;C0151611;C0151889;C0152013;C0152427;C0175754;C0206733;C0221214;C0221263;C0221354;C0231246;C0231686;C0233715;C0234853;C0237326;C0239234;C0240295;C0240310;C0240538;C0240635;C0241210;C0262630;C0264133;C0264303;C0264886;C0265563;C0265974;C0266034;C0266292;C0277828;C0279626;C0311277;C0333068;C0339789;C0349588;C0399357;C0423110;C0423224;C0423903;C0424295;C0424688;C0424731;C0425772;C0426891;C0431483;C0454455;C0454644;C0476273;C0520679;C0522055;C0541764;C0549397;C0563243;C0581381;C0678230;C0700208;C0751466;C0855329;C0857379;C0917816;C1185616;C1281931;C1290508;C1317785;C1384666;C1398312;C1510497;C1691215;C1832603;C1835807;C1837760;C1839764;C1842366;C1842820;C1843367;C1844508;C1846464;C1848490;C1849367;C1850049;C1850327;C1850530;C1851854;C1852464;C1853237;C1853487;C1853738;C1855670;C1855728;C1856119;C1857130;C1857627;C1858539;C1859778;C1860164;C1861403;C1862425;C1862939;C1864648;C1865027;C1865841;C1866134;C1866862;C1867131;C1867132;C1868571;C2051831;C2315100;C2674608;C2675540;C3275754;C3494422;C3714756;C4020691;C4020849;C4020876;C4020889;C4024221;C4025111;C4025806;C4025843;C4072873;C4073291;C4082243;C4280335;C4280395;C4280456;C4280457;C4280538;C4280554;C4280555;C4280613;C4280614;C4280617;C4280618;C4280640;C4280641;C4280642;C4280643;C0525045;C0001418;C0004114;C0005967;C0007131;C0007137;C0023418;C0033578;C1458155
10,Human,O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3,SMC2;NCAPH;NCAPD2;NCAPG;SMC4,C0023893
11,Human,Q92902;Q9NQG7,HPS1;HPS4,C0000737;C0001916;C0013491;C0014591;C0016689;C0017565;C0018932;C0021390;C0027962;C0028738;C0034069;C0035078;C0078917;C0085581;C0151529;C0157733;C0333913;C0423798;C0578878;C0878544;C1301509;C1565489;C1839604;C1859923;C2677869;C2931875;C3277226;C4020899;C4280269;C0036341;C2931875
12,Human,Q86YV9;Q969F9;Q9UPZ3,HPS6;HPS3;HPS5,C2931875;C2931875;C3888001;C0001916;C0013491;C0040034;C0078917;C0333913;C0392386;C0423798;C2931875;C3888004;C4020899
13,Human,Q92903;Q96NY9,CDS1;MUS81,C0024667;C0024668;C4277682
15,Human,O15379;O60907;O75376;Q13227;Q92828;Q9BZK7,HDAC3;TBL1X;NCOR1;GPS2;CORO2A;TBL1XR1,C0018799;C0036341;C1510586;C0005695;C0007138;C0014175;C0017636;C0023903;C1458155;C0023487;C0345967;C1865644
23,Human,O95295;P78537;Q6QNY0;Q6QNY1;Q8TDH9;Q96EV8;Q9NUP1;Q9UL45,SNAPIN;BLOC1S1;BLOC1S3;BLOC1S2;BLOC1S5;DTNBP1;BLOC1S4;BLOC1S6,C0036341;C0032460;C0036341;C2931875;C3888026;C0023893;C0001973;C0004936;C0005586;C0011570;C0011581;C0033937;C0036341;C0041696;C0270458;C0525045;C1269683;C2931875;C3279756;C0028738;C0151891;C0162835;C0700501;C3280026;C4020899
