gene1,gene2
5052,7133
16919,7084
13549,10080
7631,13890
14806,9283
15181,14911
5707,1741
6572,8157
9447,6799
12199,2656
3518,9641
440,5016
8072,11165
9722,14135
3845,14693
9485,17494
4864,9030
2048,15766
15251,8070
1309,8468
3370,1109
16351,6626
1730,15623
11054,17553
15087,9641
6260,13520
13696,8727
7563,2915
13670,3514
119,3514
8601,11789
15664,2946
14475,14144
15646,6626
909,10767
3451,1034
11570,7419
3371,1954
8641,7419
8321,9392
5361,3117
10702,3755
13825,3336
6089,15004
10405,12078
10684,16683
13396,14552
12795,17553
199,2195
1162,16911
12244,6736
1137,3411
14729,17777
787,16029
17562,12520
8886,6044
9689,8481
14649,8481
14217,13520
11147,8457
14743,16911
4273,2081
13598,7133
12444,16811
16269,13561
1274,2245
1202,13685
1461,3734
1703,7154
8893,266
8775,5626
13376,12404
142,15952
12850,11934
16924,14911
1948,2195
7311,7274
397,716
3539,2491
1018,10879
6623,514
2599,514
6386,10690
7059,3464
15695,17494
8156,3464
15869,8359
13951,5489
1763,5033
15037,6626
1821,7905
2586,3201
4434,12507
3612,4885
4478,514
433,10717
17754,11696
14166,13554
9330,5343
8096,6812
9292,8860
6775,860
10437,17494
10933,11064
15903,14911
8737,15329
8064,11834
7703,6390
10639,6312
534,2480
14477,3734
9573,3988
11640,514
4215,16029
9045,1684
2823,3734
14189,5950
1366,3803
13704,5711
6969,14144
7833,8466
9891,3734
6954,4328
10112,9587
16970,11789
12274,7157
4022,6999
9975,7905
3873,12520
12111,11834
9692,14144
13662,1741
15839,16911
10306,2081
5624,7419
7015,9587
2829,1684
14707,17175
3202,620
188,8359
6197,7154
7274,14552
14796,4319
2867,2637
2741,9083
17002,482
880,716
11319,9641
13210,10879
7392,4569
12788,3734
13860,6120
12659,3514
610,5879
2022,514
10711,6044
8729,64
8323,3135
2439,2086
9248,7133
7602,100
9649,9641
6511,10584
14317,9392
14918,5752
13025,2946
9200,7154
1484,10504
9780,6394
13489,12078
8717,7783
11456,14173
4905,16609
17516,4319
3954,3734
5614,3734
10005,625
15875,5441
13827,5283
13956,12404
8121,1067
5783,13837
8661,9977
2658,16029
9589,8481
10550,6626
16818,8481
12128,9641
11957,12504
8221,3054
12852,11834
14257,14997
5829,3938
11786,9771
2415,3481
13440,8078
13358,11834
9291,9717
17193,15329
13491,12078
2039,4155
9713,14707
1821,3464
11493,3202
202,3117
13940,4757
2527,13586
17152,5922
15426,5493
1567,5493
63,5656
7632,3464
9029,13561
4246,8359
6863,6032
17593,5637
6470,5150
11249,5637
5127,10879
9217,1353
6883,2491
11253,514
14765,4569
14141,14357
9361,2820
15173,3190
7112,17440
9480,2081
7566,8265
3980,3514
7178,3752
8734,17208
5637,5055
15039,5493
6637,4381
16456,6226
14512,16609
11432,16534
13794,10795
11474,5343
13545,7154
8309,10504
15627,3755
16734,6032
16996,2346
12665,3755
11708,14173
16527,5885
7790,9392
4369,243
4062,3734
13163,5879
6264,3514
8429,710
11282,514
15309,3135
619,15004
7133,7253
7812,8481
10771,8481
15204,6336
15303,3514
16997,1067
6207,16911
498,2946
4451,16966
2947,14357
14717,3507
4726,11834
11934,1294
16474,7905
10248,12078
5694,13837
11297,2720
16455,9392
2770,4319
13229,7419
1904,8270
6285,4210
14061,15004
9411,12078
9863,5656
9382,8481
3162,266
2229,4319
1751,625
4889,7274
12742,17062
15104,13679
6684,16029
8385,3208
15136,11380
10869,537
8891,5561
15409,2081
7695,7392
5125,13076
2870,4961
1104,5493
15128,7235
11374,5561
2093,7154
11684,716
11811,6390
5404,17062
11810,3514
9733,514
4408,5807
17425,14911
8903,1672
545,5561
10774,3135
12451,8481
14474,8727
10691,13564
271,514
8721,11789
2307,7008
13665,9587
15675,5151
4578,3488
15344,7905
7963,1050
1914,14173
17644,9392
12764,12565
4232,11518
9587,5016
710,11789
12152,17494
7350,6651
4900,12520
3139,5711
15211,3208
14263,5405
15413,5405
16135,7419
10782,5637
10436,4210
5504,16029
14353,12333
6236,13890
1562,12520
188,4897
5185,15052
10275,12078
10407,3628
16899,5493
1594,5626
16430,14911
9564,9083
1620,5060
15618,10795
6247,2188
11444,5558
7571,1538
17770,17208
6509,8270
13983,9977
5919,14135
2932,5283
9226,16683
639,14552
16673,5561
9342,8070
6966,8070
15905,8359
11008,7154
12869,7274
1413,17409
16455,1538
14887,17494
16766,243
15583,12386
8059,6120
14426,514
15595,3406
12237,6917
14392,2915
5926,6112
10909,5033
3385,4168
10129,4698
8193,15766
15977,17777
16866,7695
15099,14144
708,7084
3801,8481
17116,64
16337,8727
373,11436
940,17537
14711,7419
13866,9587
564,6779
15429,5561
1458,17494
16222,14911
12122,1067
15779,13561
10775,7286
10113,2715
243,16029
11889,3336
17621,3734
24,5150
71,15004
17230,12078
1498,3135
10710,14173
687,8481
16934,12903
15429,10699
10408,12147
9538,3190
11523,5405
10175,5320
9846,11789
12605,5376
6803,12520
7369,1347
14306,5645
13220,5547
14002,5829
349,5711
2214,16683
6985,2081
10568,2081
848,7419
15467,17553
2743,5060
343,1538
1638,12078
3335,17258
3677,2637
3217,3336
1543,8157
10378,6736
1261,3734
17173,12078
4366,514
3507,10694
9654,15611
7194,16567
5437,2720
12662,17553
11047,4319
4241,7154
5145,14552
7392,2491
17644,1538
16857,13520
882,9202
5500,3201
6811,7434
4942,3135
2444,5561
121,2355
13332,15775
9429,3481
8977,6312
8738,5669
5152,514
11666,3653
533,12078
16563,1067
3670,14173
15278,5190
3525,15623
15692,9641
11825,6312
5753,514
7875,5674
2072,7226
13690,1109
6952,13133
3437,6626
10370,8481
16105,7905
17141,11834
1618,12507
3447,1630
11062,1397
1318,8481
16406,8481
6968,2715
4529,12147
9464,1741
9614,1741
5043,11789
15166,11789
1450,7157
1654,489
14974,3336
5250,11084
17692,7084
475,14888
17225,7419
457,7419
7398,9184
2447,1538
315,489
16971,5376
8093,1738
4400,12078
679,6369
8250,5637
15921,16579
3191,17311
13592,10695
15074,2637
14290,5547
12747,15975
4615,6335
4015,5561
2966,7556
10590,7372
7102,2081
7603,2483
16725,3752
11689,2637
12056,2656
2948,9392
17418,3734
11939,4120
2116,3514
1985,5441
1680,3464
4120,9030
2328,8481
14500,8481
17615,7899
10487,8736
13706,3734
11678,3514
12822,17537
7178,16911
15271,2915
16815,14053
14153,12520
1552,6626
12162,7905
15736,8270
14882,6811
1847,14868
5466,3447
13298,5626
14972,14707
8308,6435
9551,83
458,2480
10853,1788
14266,5493
12982,5950
25,14173
17177,13631
12883,2637
2267,12147
14309,4319
2427,5441
12779,3992
6677,5817
10751,4569
11384,1920
10948,12032
13935,17553
2963,7133
8546,16811
17338,2801
5490,8937
10424,6312
13136,14776
10508,9937
9171,3488
13302,2720
16105,3464
11883,8359
8575,7887
9008,8454
6123,9083
13970,5870
4860,5768
16272,1383
5417,3734
11501,3037
13502,11564
15377,8525
5679,345
15642,5033
3802,15952
11617,16619
226,12520
3191,7274
14322,2491
9111,8005
9569,920
8989,9641
15708,3734
10050,11594
9864,4935
5136,4958
12776,9392
2359,16534
6825,11853
2143,8481
1852,6626
9167,9341
10810,12078
13059,16911
9422,8457
13178,14707
7691,5167
16326,8727
5897,7314
3776,2720
10571,4328
11432,4899
8163,9392
3901,9239
15910,9587
7481,4309
7878,14911
4468,1067
8109,5656
3251,8481
9257,8005
4308,3812
16117,16911
6554,10879
3843,16029
17605,3336
12111,8481
15999,2673
16893,2466
2819,6450
16506,6312
14570,7424
13300,7905
9881,12078
682,5829
16524,3464
10669,14911
6708,14911
8679,9083
539,7154
8856,2637
3102,716
1591,17062
1004,13015
17461,6736
12174,11124
3318,9177
2943,514
16226,5283
839,17494
4346,3734
14069,13870
4987,7274
4544,5637
8705,1672
3108,17258
2580,6735
11379,13520
2529,6626
6879,1301
1684,4698
16214,9587
1213,9392
1470,7084
15987,13520
457,7154
14692,4754
15111,11124
2557,7419
8069,7419
17427,9587
10658,17063
4814,8525
8234,3545
457,8468
17678,8525
5900,12078
16748,2318
1916,12520
16497,920
12852,8481
12484,8481
16269,3734
14352,4328
2199,7419
10301,4698
3218,489
202,12520
13358,8481
10116,8481
7944,8466
9971,7372
15564,3201
14925,7419
14624,9392
5711,11573
2895,7058
12776,1538
16642,2656
1676,7905
4550,6736
5549,12404
2781,14173
12326,16683
13644,7133
6474,14911
5692,8157
4639,716
13066,1067
4645,2081
10215,2656
3873,7419
4194,7419
15097,12135
9665,9641
12598,2052
4779,3044
1192,14693
10057,514
11375,3336
14408,17019
10529,2151
4892,12135
10522,9184
1950,7084
9532,7133
15027,2821
1575,2821
3412,13890
17808,3514
976,4935
5635,1125
6573,7905
3329,11382
8369,3464
16618,2946
6814,1741
13516,2637
6540,1067
15211,15623
17504,6312
12630,3734
4180,14693
4145,17494
9881,4929
8240,7154
1215,16029
8074,12147
14606,3933
15088,6626
15056,1954
8866,5645
2267,2821
13293,5405
911,3514
70,514
16311,11789
15989,6369
14024,5635
14895,5328
496,8581
12684,2946
17587,8481
3025,6626
1146,1913
13119,3488
12070,14144
9071,6812
12768,11355
9736,16911
15868,454
9459,454
10772,7419
16445,11743
4317,15975
6118,9392
4364,11472
3010,489
8279,14173
14967,7419
4217,2637
12156,1017
17056,2656
13108,16911
1551,12520
15074,5656
14252,620
16109,6812
11815,8359
15942,4057
14079,16911
4518,6799
9465,3201
17294,3201
7057,86
13226,7133
17728,7084
4813,17044
12520,13890
3001,1538
6489,15975
1863,2656
12890,266
17769,5561
17118,16966
10964,7556
10155,3734
9086,3734
14318,14135
14507,5343
11689,5656
15426,15085
12612,13946
7836,11340
12648,2637
940,14173
7677,5768
5735,15975
2825,8109
5155,3734
13328,3514
10083,3514
11078,5879
17451,5283
7534,514
10691,10717
14758,5489
7997,4540
4010,6390
16933,7905
14492,7695
6218,14144
13867,4155
12747,7084
842,7084
13126,3734
620,7382
1263,9587
15615,7905
6463,15329
8625,16804
7628,3488
6025,8481
13405,2080
13936,12078
5740,14173
1799,17323
10122,16029
4170,1684
14980,1785
9219,12078
4891,12078
1317,3238
11884,7419
2250,5637
12587,1353
6557,17258
6811,10368
7424,17112
7934,4581
12494,11789
7265,8481
5475,5561
11666,7293
16000,2491
14063,7154
12996,5559
8602,8454
14436,7372
5668,8267
13479,5561
8975,4569
14723,7557
11907,17311
11546,7154
10547,8632
17606,5768
15639,4979
16750,3734
2794,5441
15050,6737
7019,5947
15953,5947
10050,6626
11937,8481
12751,8481
2882,9641
12672,11834
16419,12507
525,15085
15488,3406
2059,9392
8570,4958
7904,5834
12510,15947
9096,3507
15720,12078
16805,15329
3690,4806
15680,3852
7344,597
10603,3734
16030,5441
17409,1873
5408,9589
17284,5693
13353,17494
1108,7226
3873,8468
2671,4540
9692,8481
8753,3803
12264,11834
1486,716
5734,12507
1129,13406
6297,14173
2454,5637
5596,5637
10328,854
11863,2291
12307,7133
8542,2491
12584,3117
10487,11789
16206,7905
10053,1373
378,3488
11395,6812
11842,4381
6855,3464
7693,14796
