disease,gene
180,671
1413,671
1365,671
142,671
1459,671
4967,671
17,671
453,671
201,671
18,671
321,671
649,671
51,671
268,5127
2307,5127
237,5127
28,5127
1651,5127
162,5127
403,5127
1588,5127
140,5127
38,5127
2484,5127
2,5127
52,5127
1321,5127
1408,5127
297,5127
468,5127
724,5127
5013,5127
68,5127
2317,5127
2114,5127
369,5127
1903,5127
21,5127
2879,5127
2757,5127
1851,5127
368,5127
3494,5127
1871,5127
8050,5127
1744,5127
1510,5127
2827,5127
423,5127
9007,5127
1867,5127
2321,5127
2675,5127
686,5127
2513,5127
465,5127
3599,5127
1488,5127
3213,5127
9508,5127
9360,5127
4791,5127
3624,5127
1466,5127
22,5127
2918,5127
702,5127
1473,5127
1838,5127
4763,5127
697,5127
718,5127
1890,5127
0,5127
5368,5127
1475,5127
9908,5127
60,4451
169,4451
305,4451
26,4451
85,4451
14,6515
157,6515
185,6515
42,6515
8,6515
362,6515
1450,6515
10,6515
3216,6515
243,6515
1472,6515
1429,6515
615,6515
290,6515
435,6515
5,6515
3932,6515
594,6515
6,6515
58,6515
7,6515
4541,6515
2622,6515
223,6515
152,6515
63,6515
1482,6515
3,6515
10639,6515
4,6515
5195,6515
2132,6515
107,6515
106,6515
59,6515
109,6515
108,6515
773,4489
161,8419
149,8419
27,8419
4726,8419
292,8419
150,8419
429,8419
8,8419
280,8419
23,8419
31,8419
232,8419
54,8419
66,8419
147,8419
45,8419
6411,8419
6606,8419
4457,8419
4240,8419
2616,8419
552,8419
80,8419
5313,8419
196,8419
12957,8419
2942,8419
5,8419
206,8419
265,8419
6,8419
50,8419
193,8419
2651,8419
49,8419
67,8419
7,8419
48,8419
7981,8419
2238,8419
189,8419
10442,8419
4403,8419
5388,8419
3,8419
4,8419
286,8419
143,8419
0,8419
3780,8419
436,8419
491,8419
567,8419
1314,4816
766,2708
4651,4285
1155,6434
92,3445
3882,3445
514,3445
537,3445
846,194
1245,7958
4284,3035
851,339
1156,4219
795,6862
2,3680
2843,3352
2257,3352
5413,3352
5336,3352
454,3352
5525,3352
2286,3352
1922,3352
3165,3352
3936,3352
8523,3352
5454,3352
2529,3352
3550,3352
4484,3352
4508,3352
443,3155
388,3155
2399,3155
1600,3155
2141,3155
1739,3155
660,3155
463,3155
66,3155
696,3155
398,3155
1530,3155
585,3155
1612,3155
422,3155
446,3155
439,3155
1631,3155
3601,3155
2725,3155
196,3155
15,3155
675,3155
2365,3155
206,3155
2490,3155
735,3155
1857,3155
2666,3155
1784,3155
193,3155
9429,3155
667,3155
2107,3155
1433,3155
1492,3155
1730,3155
8155,3155
676,3155
189,3155
1471,3155
3696,3155
1656,3155
0,3155
2169,3155
723,3155
1901,3155
1642,3155
3688,3155
2466,3155
2453,3155
428,3155
471,3155
383,3155
18,330
1315,4674
1198,6753
996,6693
36,8941
483,8941
515,8941
373,8941
80,8941
363,8941
1500,8941
1601,8941
371,8941
0,8941
879,4594
1060,8488
1462,7730
26,7730
46,7730
179,1521
285,7579
197,6718
51,6718
145,3205
166,1790
145,7585
197,8511
166,8511
1489,4769
52,4769
179,6777
1487,8815
179,4135
129,5372
935,5581
2450,8683
866,1623
1188,1842
4188,1335
41,7319
19,7319
70,7319
185,7319
79,7319
53,7319
242,7319
393,7319
17,7319
97,7319
76,7319
3215,7319
15,7319
135,7319
1813,7319
2924,7319
222,7319
81,7319
7397,7319
5130,7319
553,7319
513,7319
465,7319
325,7319
502,7319
399,7319
130,7319
5727,7319
332,7319
1909,7319
1586,7319
9815,7319
11306,7319
7189,7319
107,7319
106,7319
2923,7319
255,7319
109,7319
108,7319
257,7319
2,1739
1368,4439
1,6544
2,6599
651,6599
5683,5027
12278,5027
1,5062
9506,3336
41,3336
19,3336
40,3336
166,3336
2706,3336
37,3336
1291,4350
2316,411
2800,411
3203,411
3178,411
2568,411
2971,411
158,1680
775,3621
1547,8892
1567,8892
4099,3976
4399,2279
43,5296
43,8180
1178,245
28,3039
876,1655
5613,4089
4045,1720
1196,4618
28,1152
28,1330
1479,7829
791,7246
3192,6293
1144,8445
1028,2094
1210,5280
960,3850
1137,3076
922,3031
4796,875
1201,6881
1017,1779
884,3358
852,7277
