disease,gene
29,7249
1941,635
151,280
8,7289
1,2139
1349,2564
4649,4886
16,6401
1564,1776
163,4916
520,2620
389,4019
3711,619
180,8211
74,1138
1986,3688
3,2876
3980,7555
194,1221
0,7030
297,1252
2,6522
57,6454
202,1783
11,1742
111,1570
3410,3554
5412,2934
243,6454
1494,1949
6097,3221
3255,2272
71,1732
278,1378
184,2140
3940,2564
328,907
2866,2056
522,1700
34,718
385,8824
1835,6680
1592,8196
158,4573
10,2127
3205,2791
2321,5143
1678,1774
115,1432
1990,2419
3790,3208
1601,1744
1834,315
314,6952
586,4241
5492,7804
49,3133
372,2974
2706,588
33,8316
3363,6586
152,1773
359,8316
12,8465
1507,5130
1436,8082
2381,5724
2033,8040
147,5921
571,2014
7608,6935
1882,4467
5571,1239
93,6260
2267,6456
69,4704
95,4700
5587,3340
1855,2791
7369,3686
7581,5921
0,5683
156,7793
1338,2019
1452,4929
1369,1773
480,5919
2681,4010
8,1692
7494,2832
118,6312
0,8101
231,6535
676,5754
672,8860
2906,6445
9177,3531
178,3741
13,6200
1749,7442
1771,4436
2064,8198
482,6885
304,2578
15,8171
257,2065
9,242
2546,1634
5777,3435
1472,8115
239,127
1780,2427
17,5224
2258,537
410,6342
423,4470
262,4050
1508,5122
5143,3526
3434,459
492,2473
1815,7843
128,741
247,3178
3,6041
130,5957
1879,2059
5869,1527
536,3968
8418,2614
111,635
384,6944
52,5023
51,7315
8823,7621
444,6099
83,4974
74,3087
2351,6225
556,4129
598,1347
151,4985
456,3098
280,4825
51,6993
39,8926
3106,7263
2684,8651
5497,1232
1415,4405
3599,5819
95,4701
527,7819
451,1501
1709,6500
181,380
1,2231
201,7631
3,44
1725,6476
2565,4838
2,202
608,2195
491,8419
3055,2844
5327,6865
4135,7490
110,6454
441,7446
283,7358
1400,2694
382,3968
3068,7283
16,5278
6126,5332
1767,6639
1339,8072
2756,6126
4586,6760
4709,8860
324,5092
486,5268
69,4405
582,6611
4155,8721
467,7782
58,2766
7316,4376
510,1384
509,1590
4797,5285
1,2275
2261,5809
280,2267
192,3791
