ComplexID,Organism,subunits(UniProt IDs),subunits(Gene name)
1,Human,P41182;P56524,BCL6;HDAC4
2,Human,P41182;Q9UQL6,BCL6;HDAC5
3,Human,P41182;Q8WUI4,BCL6;HDAC7
4,Human,Q09472;Q92793;Q92831;Q9Y6Q9,EP300;CREBBP;KAT2B;NCOA3
10,Human,O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3,SMC2;NCAPH;NCAPD2;NCAPG;SMC4
11,Human,Q92902;Q9NQG7,HPS1;HPS4
12,Human,Q86YV9;Q969F9;Q9UPZ3,HPS6;HPS3;HPS5
13,Human,Q92903;Q96NY9,CDS1;MUS81
15,Human,O15379;O60907;O75376;Q13227;Q92828;Q9BZK7,HDAC3;TBL1X;NCOR1;GPS2;CORO2A;TBL1XR1
23,Human,O95295;P78537;Q6QNY0;Q6QNY1;Q8TDH9;Q96EV8;Q9NUP1;Q9UL45,SNAPIN;BLOC1S1;BLOC1S3;BLOC1S2;BLOC1S5;DTNBP1;BLOC1S4;BLOC1S6
27,Human,O15143;O15144;O15145;O15511;P59998;P61158;P61160,ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2
29,Human,P61289,PSME3
30,Human,Q06323;Q9UL46,PSME1;PSME2
32,Human,O00231;O00232;O00233;O00487;O43242;O75832;P17980;P35998;P43686;P48556;P51665;P55036;P62191;P62195;P62333;Q13200;Q15008;Q16401;Q99460;Q9UNM6,PSMD11;PSMD12;PSMD9;PSMD14;PSMD3;PSMD10;PSMC3;PSMC2;PSMC4;PSMD8;PSMD7;PSMD4;PSMC1;PSMC5;PSMC6;PSMD2;PSMD6;PSMD5;PSMD1;PSMD13
36,Human,O43747;O75843;P56377;P61966;Q10567;Q96PC3;Q9BXS5;Q9Y6Q5,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2
45,Human,P49768;Q92542;Q96BI3;Q9NZ42,PSEN1;NCSTN;APH1A;PSENEN
49,Human,O60264;O95239;O95347;Q13547;Q96ST3;Q9NTJ3;Q9UBC3,SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B
50,Human,P20339;Q15276;Q9UJ41,RAB5A;RABEP1;RABGEF1
55,Human,P27361;P56524,MAPK3;HDAC4
57,Human,P28482;P56524,MAPK1;HDAC4
58,Human,O15379;O60907;Q13227;Q9BZK7;Q9Y618,HDAC3;TBL1X;GPS2;TBL1XR1;NCOR2
59,Human,O00203;O14617;P53677;P59780;Q13367;Q92572;Q9Y2T2,AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1
61,Human,O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769,MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2
62,Human,O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769;Q9UBB5,MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2;MBD2
66,Human,O60244;O75448;P10827;Q15648;Q93074;Q9NVC6;Q9Y2W1;Q9Y2X0,MED14;MED24;THRA;MED1;MED12;MED17;THRAP3;MED16
67,Human,O00189;Q9UPM8;Q9Y587;Q9Y6B7,AP4M1;AP4E1;AP4S1;AP4B1
68,Human,O15315;O43502;O43543;O75771,RAD51B;RAD51C;XRCC2;RAD51D
72,Human,P49959;Q92878,MRE11;RAD50
74,Human,P48995;Q14573;Q9NSC5,TRPC1;ITPR3;HOMER3
81,Human,P62877;P63208;Q14999;Q8N3Y1,RBX1;SKP1;CUL7;FBXW8
86,Human,O14497;P51532;P60709;Q12824;Q86X55;Q8TAQ2;Q92922;Q969G3;Q96GM5;Q96KG9,ARID1A;SMARCA4;ACTB;SMARCB1;CARM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1;SCYL1
87,Human,P52948;P55735;P57740;Q12769;Q8NFH3;Q8NFH4;Q8WUM0;Q96EE3;Q9BW27,NUP98;SEC13;NUP107;NUP160;NUP43;NUP37;NUP133;SEH1L;NUP85
91,Human,O15287;O15360;Q00597;Q9NPI8,FANCG;FANCA;FANCC;FANCF
92,Human,P10747;P19338,CD28;NCL
93,Human,P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6,CDC27;CDC16;ANAPC1;CDC23;ANAPC7;ANAPC5;ANAPC4;ANAPC2
95,Human,P12956;P13010;Q9BXJ9,XRCC6;XRCC5;NAA15
96,Human,P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6;Q9UM13,CDC27;CDC16;ANAPC1;CDC23;ANAPC7;ANAPC5;ANAPC4;ANAPC2;ANAPC10
98,Human,P04637;Q00987;Q09472,TP53;MDM2;EP300
100,Human,P28370;Q09028;Q12830;Q16576,SMARCA1;RBBP4;BPTF;RBBP7
103,Human,O15514;P13984;P18074;P19387;P19388;P19447;P20226;P24928;P29083;P29084;P30876;P32780;P35269;P36954;P52434;P52435;P53803;P61218;P62487;P62875;Q00403;Q13888;Q13889;Q92759,POLR2D;GTF2F2;ERCC2;POLR2C;POLR2E;ERCC3;TBP;POLR2A;GTF2E1;GTF2E2;POLR2B;GTF2H1;GTF2F1;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B;GTF2H2;GTF2H3;GTF2H4
104,Human,O15514;P19387;P19388;P24928;P30876;P36954;P52434;P52435;P53803;P61218;P62487;P62875,POLR2D;POLR2C;POLR2E;POLR2A;POLR2B;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L
107,Human,P18074;P19447;P32780;P50613;P51946;P51948;Q13888;Q13889;Q92759,ERCC2;ERCC3;GTF2H1;CDK7;CCNH;MNAT1;GTF2H2;GTF2H3;GTF2H4
112,Human,O15212;O60925;P61758;Q99471;Q9NQP4;Q9UHV9,PFDN6;PFDN1;VBP1;PFDN5;PFDN4;PFDN2
114,Human,O75971;Q13487;Q16533;Q5SXM2;Q92966,SNAPC5;SNAPC2;SNAPC1;SNAPC4;SNAPC3
